"year","month","day","dep_time","sched_dep_time","dep_delay","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","distance","hour","minute","time_hour"
2013,1,6,1456,1500,-4,1656,"Not Delay","US",720,"N185UW","EWR","CLT",529,15,0,2013-01-06 15:00:00
2013,1,6,1513,1508,5,1705,"Delay","EV",4326,"N12924","EWR","CLT",529,15,8,2013-01-06 15:00:00
2013,1,6,1728,1730,-2,1926,"Delay","US",449,"N651AW","EWR","CLT",529,17,30,2013-01-06 17:00:00
2013,1,6,1830,1829,1,2032,"Delay","US",1973,"N409US","EWR","CLT",529,18,29,2013-01-06 18:00:00
2013,1,6,1919,1906,13,2115,"Delay","EV",4627,"N27962","EWR","CLT",529,19,6,2013-01-06 19:00:00
2013,1,7,454,500,-6,648,"Not Delay","US",1117,"N566UW","EWR","CLT",529,5,0,2013-01-07 05:00:00
2013,1,7,623,630,-7,831,"Not Delay","US",1507,"N172US","EWR","CLT",529,6,30,2013-01-07 06:00:00
2013,1,7,640,645,-5,846,"Not Delay","US",926,"N193UW","EWR","CLT",529,6,45,2013-01-07 06:00:00
2013,1,7,808,815,-7,1015,"Not Delay","US",675,"N669AW","EWR","CLT",529,8,15,2013-01-07 08:00:00
2013,1,7,824,630,114,845,"Delay","EV",4471,"N14907","EWR","CLT",529,6,30,2013-01-07 06:00:00
2013,1,7,1022,1015,7,1208,"Not Delay","US",1103,"N564UW","EWR","CLT",529,10,15,2013-01-07 10:00:00
2013,1,7,1309,1315,-6,1504,"Not Delay","US",1723,"N169UW","EWR","CLT",529,13,15,2013-01-07 13:00:00
2013,1,7,1438,1218,140,1415,"Delay","EV",4135,"N14143","EWR","CLT",529,12,18,2013-01-07 12:00:00
2013,1,7,1454,1500,-6,1653,"Not Delay","US",720,"N557UW","EWR","CLT",529,15,0,2013-01-07 15:00:00
2013,1,7,1506,1507,-1,1704,"Not Delay","EV",4326,"N13989","EWR","CLT",529,15,7,2013-01-07 15:00:00
2013,1,7,1724,1730,-6,1923,"Not Delay","US",449,"N655AW","EWR","CLT",529,17,30,2013-01-07 17:00:00
2013,1,7,2018,1904,74,2109,"Delay","EV",4627,"N14143","EWR","CLT",529,19,4,2013-01-07 19:00:00
2013,1,8,454,500,-6,648,"Not Delay","US",1117,"N564UW","EWR","CLT",529,5,0,2013-01-08 05:00:00
2013,1,8,619,630,-11,831,"Not Delay","US",1507,"N188US","EWR","CLT",529,6,30,2013-01-08 06:00:00
2013,1,8,630,634,-4,849,"Delay","EV",4471,"N13124","EWR","CLT",529,6,34,2013-01-08 06:00:00
2013,1,8,637,645,-8,846,"Delay","US",926,"N701UW","EWR","CLT",529,6,45,2013-01-08 06:00:00
2013,1,8,811,815,-4,1015,"Delay","US",675,"N654AW","EWR","CLT",529,8,15,2013-01-08 08:00:00
2013,1,8,1013,1015,-2,1208,"Not Delay","US",375,"N601AW","EWR","CLT",529,10,15,2013-01-08 10:00:00
2013,1,8,1227,1218,9,1415,"Delay","EV",4641,"N11140","EWR","CLT",529,12,18,2013-01-08 12:00:00
2013,1,8,1315,1315,0,1504,"Delay","US",1895,"N179UW","EWR","CLT",529,13,15,2013-01-08 13:00:00
2013,1,8,1454,1500,-6,1653,"Not Delay","US",720,"N563UW","EWR","CLT",529,15,0,2013-01-08 15:00:00
2013,1,8,1534,1459,35,1656,"Delay","EV",4326,"N12921","EWR","CLT",529,14,59,2013-01-08 14:00:00
2013,1,8,1730,1730,0,1923,"Not Delay","US",449,"N653AW","EWR","CLT",529,17,30,2013-01-08 17:00:00
2013,1,8,1907,1904,3,2109,"Not Delay","EV",4175,"N16918","EWR","CLT",529,19,4,2013-01-08 19:00:00
2013,1,8,NA,1645,NA,1838,NA,"US",123,NA,"EWR","CLT",529,16,45,2013-01-08 16:00:00
2013,1,9,457,500,-3,648,"Not Delay","US",1117,"N566UW","EWR","CLT",529,5,0,2013-01-09 05:00:00
2013,1,9,622,630,-8,845,"Not Delay","EV",4471,"N14153","EWR","CLT",529,6,30,2013-01-09 06:00:00
2013,1,9,624,630,-6,831,"Not Delay","US",1125,"N123UW","EWR","CLT",529,6,30,2013-01-09 06:00:00
2013,1,9,636,645,-9,846,"Delay","US",926,"N171US","EWR","CLT",529,6,45,2013-01-09 06:00:00
2013,1,9,810,815,-5,1015,"Not Delay","US",675,"N604AW","EWR","CLT",529,8,15,2013-01-09 08:00:00
2013,1,9,1009,1015,-6,1208,"Not Delay","US",375,"N653AW","EWR","CLT",529,10,15,2013-01-09 10:00:00
2013,1,9,1213,1218,-5,1415,"Not Delay","EV",4641,"N11187","EWR","CLT",529,12,18,2013-01-09 12:00:00
2013,1,9,1311,1315,-4,1504,"Not Delay","US",1895,"N555AY","EWR","CLT",529,13,15,2013-01-09 13:00:00
2013,1,9,1455,1500,-5,1653,"Not Delay","US",720,"N563UW","EWR","CLT",529,15,0,2013-01-09 15:00:00
2013,1,9,1500,1507,-7,1704,"Not Delay","EV",4326,"N12967","EWR","CLT",529,15,7,2013-01-09 15:00:00
2013,1,9,1726,1730,-4,1923,"Not Delay","US",449,"N667AW","EWR","CLT",529,17,30,2013-01-09 17:00:00
2013,1,9,1828,1829,-1,2032,"Delay","US",1973,"N566UW","EWR","CLT",529,18,29,2013-01-09 18:00:00
2013,1,9,1859,1904,-5,2109,"Not Delay","EV",4175,"N11565","EWR","CLT",529,19,4,2013-01-09 19:00:00
2013,1,10,450,500,-10,648,"Not Delay","US",1117,"N171US","EWR","CLT",529,5,0,2013-01-10 05:00:00
2013,1,10,620,630,-10,831,"Delay","US",1125,"N110UW","EWR","CLT",529,6,30,2013-01-10 06:00:00
2013,1,10,627,630,-3,845,"Not Delay","EV",4471,"N17108","EWR","CLT",529,6,30,2013-01-10 06:00:00
2013,1,10,642,645,-3,846,"Not Delay","US",926,"N177US","EWR","CLT",529,6,45,2013-01-10 06:00:00
2013,1,10,808,815,-7,1015,"Not Delay","US",675,"N647AW","EWR","CLT",529,8,15,2013-01-10 08:00:00
2013,1,10,1034,1015,19,1208,"Delay","US",1103,"N559UW","EWR","CLT",529,10,15,2013-01-10 10:00:00
2013,1,10,1213,1218,-5,1415,"Not Delay","EV",4641,"N12142","EWR","CLT",529,12,18,2013-01-10 12:00:00
2013,1,10,1314,1315,-1,1504,"Not Delay","US",1643,"N174US","EWR","CLT",529,13,15,2013-01-10 13:00:00
2013,1,10,1500,1500,0,1653,"Not Delay","US",720,"N555AY","EWR","CLT",529,15,0,2013-01-10 15:00:00
2013,1,10,1504,1507,-3,1704,"Not Delay","EV",4326,"N15983","EWR","CLT",529,15,7,2013-01-10 15:00:00
2013,1,10,1726,1730,-4,1923,"Not Delay","US",449,"N651AW","EWR","CLT",529,17,30,2013-01-10 17:00:00
2013,1,10,1824,1829,-5,2032,"Not Delay","US",1973,"N169UW","EWR","CLT",529,18,29,2013-01-10 18:00:00
2013,1,10,1933,1904,29,2109,"Delay","EV",4437,"N11544","EWR","CLT",529,19,4,2013-01-10 19:00:00
2013,1,11,453,500,-7,648,"Not Delay","US",1117,"N177US","EWR","CLT",529,5,0,2013-01-11 05:00:00
2013,1,11,622,630,-8,831,"Not Delay","US",1507,"N566UW","EWR","CLT",529,6,30,2013-01-11 06:00:00
2013,1,11,624,630,-6,845,"Not Delay","EV",4471,"N16147","EWR","CLT",529,6,30,2013-01-11 06:00:00
2013,1,11,639,645,-6,846,"Not Delay","US",926,"N194UW","EWR","CLT",529,6,45,2013-01-11 06:00:00
2013,1,11,808,815,-7,1015,"Not Delay","US",675,"N604AW","EWR","CLT",529,8,15,2013-01-11 08:00:00
2013,1,11,1023,1015,8,1208,"Delay","US",1103,"N177US","EWR","CLT",529,10,15,2013-01-11 10:00:00
2013,1,11,1230,1218,12,1415,"Delay","EV",4641,"N16183","EWR","CLT",529,12,18,2013-01-11 12:00:00
2013,1,11,1311,1315,-4,1504,"Not Delay","US",1895,"N537UW","EWR","CLT",529,13,15,2013-01-11 13:00:00
2013,1,11,1457,1500,-3,1653,"Not Delay","US",720,"N555AY","EWR","CLT",529,15,0,2013-01-11 15:00:00
2013,1,11,1504,1507,-3,1704,"Not Delay","EV",4326,"N12996","EWR","CLT",529,15,7,2013-01-11 15:00:00
2013,1,11,1729,1730,-1,1923,"Delay","US",449,"N601AW","EWR","CLT",529,17,30,2013-01-11 17:00:00
2013,1,11,1825,1829,-4,2032,"Not Delay","US",1973,"N189UW","EWR","CLT",529,18,29,2013-01-11 18:00:00
2013,1,11,1945,1904,41,2109,"Delay","EV",4437,"N11150","EWR","CLT",529,19,4,2013-01-11 19:00:00
2013,1,12,508,500,8,648,"Not Delay","US",1117,"N194UW","EWR","CLT",529,5,0,2013-01-12 05:00:00
2013,1,12,624,630,-6,831,"Not Delay","US",1507,"N177US","EWR","CLT",529,6,30,2013-01-12 06:00:00
2013,1,12,638,645,-7,846,"Not Delay","US",926,"N187US","EWR","CLT",529,6,45,2013-01-12 06:00:00
2013,1,12,808,815,-7,1015,"Not Delay","US",675,"N680AW","EWR","CLT",529,8,15,2013-01-12 08:00:00
2013,1,12,1012,1015,-3,1208,"Not Delay","US",1036,"N117UW","EWR","CLT",529,10,15,2013-01-12 10:00:00
2013,1,12,1313,1315,-2,1506,"Not Delay","US",1629,"N443US","EWR","CLT",529,13,15,2013-01-12 13:00:00
2013,1,12,1456,1500,-4,1653,"Not Delay","US",720,"N765US","EWR","CLT",529,15,0,2013-01-12 15:00:00
2013,1,12,1638,1645,-7,1838,"Not Delay","US",123,"N650AW","EWR","CLT",529,16,45,2013-01-12 16:00:00
2013,1,12,1828,1829,-1,2032,"Not Delay","US",681,"N652AW","EWR","CLT",529,18,29,2013-01-12 18:00:00
2013,1,12,1856,1859,-3,2104,"Not Delay","EV",4700,"N14568","EWR","CLT",529,18,59,2013-01-12 18:00:00
2013,1,13,635,630,5,831,"Not Delay","US",1485,"N195UW","EWR","CLT",529,6,30,2013-01-13 06:00:00
2013,1,13,642,645,-3,846,"Not Delay","US",926,"N192UW","EWR","CLT",529,6,45,2013-01-13 06:00:00
2013,1,13,653,620,33,835,"Delay","EV",4292,"N26141","EWR","CLT",529,6,20,2013-01-13 06:00:00
2013,1,13,807,815,-8,1015,"Not Delay","US",675,"N652AW","EWR","CLT",529,8,15,2013-01-13 08:00:00
2013,1,13,1011,1015,-4,1210,"Not Delay","US",887,"N452UW","EWR","CLT",529,10,15,2013-01-13 10:00:00
2013,1,13,1227,1232,-5,1429,"Not Delay","EV",4135,"N12160","EWR","CLT",529,12,32,2013-01-13 12:00:00
2013,1,13,1308,1315,-7,1504,"Not Delay","US",1895,"N738US","EWR","CLT",529,13,15,2013-01-13 13:00:00
2013,1,13,1555,1500,55,1653,"Delay","US",720,"N188US","EWR","CLT",529,15,0,2013-01-13 15:00:00
2013,1,13,1726,1508,138,1705,"Delay","EV",4326,"N14977","EWR","CLT",529,15,8,2013-01-13 15:00:00
2013,1,13,1737,1730,7,1923,"Not Delay","US",449,"N675AW","EWR","CLT",529,17,30,2013-01-13 17:00:00
2013,1,13,1829,1829,0,2032,"Not Delay","US",1973,"N104UW","EWR","CLT",529,18,29,2013-01-13 18:00:00
2013,1,13,2026,1906,80,2115,"Delay","EV",4627,"N15572","EWR","CLT",529,19,6,2013-01-13 19:00:00
2013,1,14,453,500,-7,648,"Not Delay","US",1117,"N558UW","EWR","CLT",529,5,0,2013-01-14 05:00:00
2013,1,14,619,630,-11,831,"Not Delay","US",1507,"N554UW","EWR","CLT",529,6,30,2013-01-14 06:00:00
2013,1,14,621,630,-9,845,"Not Delay","EV",4471,"N12195","EWR","CLT",529,6,30,2013-01-14 06:00:00
2013,1,14,642,645,-3,846,"Delay","US",926,"N565UW","EWR","CLT",529,6,45,2013-01-14 06:00:00
2013,1,14,806,815,-9,1015,"Not Delay","US",675,"N673AW","EWR","CLT",529,8,15,2013-01-14 08:00:00
2013,1,14,1017,1015,2,1208,"Delay","US",1103,"N558UW","EWR","CLT",529,10,15,2013-01-14 10:00:00
2013,1,14,1217,1218,-1,1415,"Not Delay","EV",4135,"N11191","EWR","CLT",529,12,18,2013-01-14 12:00:00
2013,1,14,1311,1315,-4,1504,"Not Delay","US",1723,"N186US","EWR","CLT",529,13,15,2013-01-14 13:00:00
2013,1,14,1458,1500,-2,1653,"Not Delay","US",720,"N188US","EWR","CLT",529,15,0,2013-01-14 15:00:00
2013,1,14,1509,1507,2,1704,"Not Delay","EV",4326,"N27962","EWR","CLT",529,15,7,2013-01-14 15:00:00
2013,1,14,1724,1730,-6,1923,"Delay","US",449,"N663AW","EWR","CLT",529,17,30,2013-01-14 17:00:00
2013,1,14,1901,1904,-3,2109,"Not Delay","EV",4437,"N17984","EWR","CLT",529,19,4,2013-01-14 19:00:00
2013,1,15,453,500,-7,648,"Not Delay","US",1117,"N173US","EWR","CLT",529,5,0,2013-01-15 05:00:00
2013,1,15,619,630,-11,831,"Not Delay","US",1507,"N558UW","EWR","CLT",529,6,30,2013-01-15 06:00:00
2013,1,15,630,634,-4,849,"Delay","EV",4471,"N27152","EWR","CLT",529,6,34,2013-01-15 06:00:00
2013,1,15,640,645,-5,846,"Delay","US",926,"N564UW","EWR","CLT",529,6,45,2013-01-15 06:00:00
2013,1,15,809,815,-6,1015,"Not Delay","US",675,"N651AW","EWR","CLT",529,8,15,2013-01-15 08:00:00
2013,1,15,1012,1015,-3,1208,"Delay","US",375,"N663AW","EWR","CLT",529,10,15,2013-01-15 10:00:00
2013,1,15,1256,1218,38,1415,"Delay","EV",4641,"N16183","EWR","CLT",529,12,18,2013-01-15 12:00:00
2013,1,15,1311,1315,-4,1504,"Delay","US",1895,"N113UW","EWR","CLT",529,13,15,2013-01-15 13:00:00
2013,1,15,1456,1459,-3,1656,"Delay","EV",4326,"N19554","EWR","CLT",529,14,59,2013-01-15 14:00:00
2013,1,15,1457,1500,-3,1653,"Delay","US",720,"N563UW","EWR","CLT",529,15,0,2013-01-15 15:00:00
2013,1,15,1638,1645,-7,1838,"Delay","US",123,"N657AW","EWR","CLT",529,16,45,2013-01-15 16:00:00
2013,1,15,1724,1730,-6,1923,"Delay","US",449,"N662AW","EWR","CLT",529,17,30,2013-01-15 17:00:00
2013,1,15,1855,1904,-9,2109,"Not Delay","EV",4175,"N29906","EWR","CLT",529,19,4,2013-01-15 19:00:00
2013,1,16,456,500,-4,648,"Delay","US",1117,"N543UW","EWR","CLT",529,5,0,2013-01-16 05:00:00
2013,1,16,623,630,-7,831,"Delay","US",1125,"N108UW","EWR","CLT",529,6,30,2013-01-16 06:00:00
2013,1,16,644,630,14,845,"Delay","EV",4471,"N18102","EWR","CLT",529,6,30,2013-01-16 06:00:00
2013,1,16,825,815,10,1015,"Delay","US",675,"N657AW","EWR","CLT",529,8,15,2013-01-16 08:00:00
2013,1,16,1016,1015,1,1208,"Delay","US",375,"N662AW","EWR","CLT",529,10,15,2013-01-16 10:00:00
2013,1,16,1321,1315,6,1504,"Delay","US",1895,"N174US","EWR","CLT",529,13,15,2013-01-16 13:00:00
2013,1,16,1419,1218,121,1415,"Delay","EV",4641,"N12564","EWR","CLT",529,12,18,2013-01-16 12:00:00
2013,1,16,1458,1500,-2,1653,"Delay","US",720,"N183UW","EWR","CLT",529,15,0,2013-01-16 15:00:00
2013,1,16,1606,1507,59,1704,"Delay","EV",4326,"N13908","EWR","CLT",529,15,7,2013-01-16 15:00:00
2013,1,16,1734,1730,4,1923,"Delay","US",449,"N667AW","EWR","CLT",529,17,30,2013-01-16 17:00:00
2013,1,16,1912,1829,43,2032,"Delay","US",1973,"N536UW","EWR","CLT",529,18,29,2013-01-16 18:00:00
2013,1,16,2114,1904,130,2109,"Delay","EV",4175,"N26545","EWR","CLT",529,19,4,2013-01-16 19:00:00
2013,1,16,NA,645,NA,846,NA,"US",926,NA,"EWR","CLT",529,6,45,2013-01-16 06:00:00
2013,1,17,453,500,-7,648,"Not Delay","US",1117,"N185UW","EWR","CLT",529,5,0,2013-01-17 05:00:00
2013,1,17,657,645,12,846,"Delay","US",926,"N565UW","EWR","CLT",529,6,45,2013-01-17 06:00:00
2013,1,17,659,630,29,831,"Delay","US",1125,"N104UW","EWR","CLT",529,6,30,2013-01-17 06:00:00
2013,1,17,705,630,35,845,"Delay","EV",4471,"N21537","EWR","CLT",529,6,30,2013-01-17 06:00:00
2013,1,17,811,815,-4,1015,"Delay","US",675,"N678AW","EWR","CLT",529,8,15,2013-01-17 08:00:00
2013,1,17,1012,1015,-3,1208,"Delay","US",1103,"N171US","EWR","CLT",529,10,15,2013-01-17 10:00:00
2013,1,17,1213,1218,-5,1415,"Delay","EV",4641,"N10156","EWR","CLT",529,12,18,2013-01-17 12:00:00
2013,1,17,1311,1315,-4,1504,"Delay","US",1643,"N186US","EWR","CLT",529,13,15,2013-01-17 13:00:00
2013,1,17,1455,1500,-5,1653,"Delay","US",720,"N745VJ","EWR","CLT",529,15,0,2013-01-17 15:00:00
2013,1,17,1507,1507,0,1704,"Delay","EV",4326,"N12957","EWR","CLT",529,15,7,2013-01-17 15:00:00
2013,1,17,1725,1730,-5,1923,"Delay","US",449,"N673AW","EWR","CLT",529,17,30,2013-01-17 17:00:00
2013,1,17,1825,1829,-4,2032,"Delay","US",1973,"N566UW","EWR","CLT",529,18,29,2013-01-17 18:00:00
2013,1,17,2044,1904,100,2109,"Delay","EV",4437,"N15572","EWR","CLT",529,19,4,2013-01-17 19:00:00
2013,1,18,455,500,-5,648,"Not Delay","US",1117,"N565UW","EWR","CLT",529,5,0,2013-01-18 05:00:00
2013,1,18,623,630,-7,831,"Delay","US",1507,"N162UW","EWR","CLT",529,6,30,2013-01-18 06:00:00
2013,1,18,630,630,0,845,"Delay","EV",4471,"N11194","EWR","CLT",529,6,30,2013-01-18 06:00:00
2013,1,18,642,645,-3,846,"Delay","US",926,"N561UW","EWR","CLT",529,6,45,2013-01-18 06:00:00
2013,1,18,809,815,-6,1015,"Not Delay","US",675,"N669AW","EWR","CLT",529,8,15,2013-01-18 08:00:00
2013,1,18,1047,1015,32,1208,"Delay","US",1103,"N565UW","EWR","CLT",529,10,15,2013-01-18 10:00:00
2013,1,18,1318,1315,3,1504,"Not Delay","US",1895,"N182UW","EWR","CLT",529,13,15,2013-01-18 13:00:00
2013,1,18,1451,1500,-9,1653,"Not Delay","US",720,"N745VJ","EWR","CLT",529,15,0,2013-01-18 15:00:00
2013,1,18,1518,1218,180,1415,"Delay","EV",4641,"N15986","EWR","CLT",529,12,18,2013-01-18 12:00:00
2013,1,18,1739,1730,9,1923,"Not Delay","US",449,"N679AW","EWR","CLT",529,17,30,2013-01-18 17:00:00
2013,1,18,1825,1829,-4,2032,"Not Delay","US",1973,"N539UW","EWR","CLT",529,18,29,2013-01-18 18:00:00
2013,1,18,1937,1904,33,2109,"Delay","EV",4437,"N21537","EWR","CLT",529,19,4,2013-01-18 19:00:00
2013,1,18,NA,1507,NA,1704,NA,"EV",4326,"N12957","EWR","CLT",529,15,7,2013-01-18 15:00:00
2013,1,19,456,500,-4,648,"Not Delay","US",1117,"N561UW","EWR","CLT",529,5,0,2013-01-19 05:00:00
2013,1,19,624,630,-6,831,"Not Delay","US",1507,"N565UW","EWR","CLT",529,6,30,2013-01-19 06:00:00
2013,1,19,636,645,-9,846,"Not Delay","US",926,"N196UW","EWR","CLT",529,6,45,2013-01-19 06:00:00
2013,1,19,815,815,0,1015,"Not Delay","US",675,"N664AW","EWR","CLT",529,8,15,2013-01-19 08:00:00
